_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,152,infibeam Result Data,infibeam Result Data,152,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy A3 (Black),Rs. 14900
,153,infibeam Result Data,infibeam Result Data,153,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy A3 (White),Rs. 14900
,154,infibeam Result Data,infibeam Result Data,154,http://www.infibeam.com/Mobiles/search?page=8,Microsoft Lumia 540 Dual SIM (Black),Rs. 9999
,155,infibeam Result Data,infibeam Result Data,155,http://www.infibeam.com/Mobiles/search?page=8,Microsoft Lumia 535 Dual Sim (White),Rs. 8225
,156,infibeam Result Data,infibeam Result Data,156,http://www.infibeam.com/Mobiles/search?page=8,Microsoft Lumia 535 Dual Sim (Black),Rs. 7324
,157,infibeam Result Data,infibeam Result Data,157,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy S6 Edge (Black) (64GB),Rs. 52900
,158,infibeam Result Data,infibeam Result Data,158,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy S6 Edge (Gold) (64GB),Rs. 52900
,159,infibeam Result Data,infibeam Result Data,159,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy S6 Edge (Gold) (32GB),Rs. 49900
,160,infibeam Result Data,infibeam Result Data,160,http://www.infibeam.com/Mobiles/search?page=8,Samsung Galaxy S6 Edge (White) (32GB),Rs. 49900
,161,infibeam Result Data,infibeam Result Data,161,http://www.infibeam.com/Mobiles/search?page=9,Samsung Galaxy S6 Edge (Black) (32GB),Rs. 49900
,162,infibeam Result Data,infibeam Result Data,162,http://www.infibeam.com/Mobiles/search?page=9,Lava Pixel V1 (White),Rs. 9999
,163,infibeam Result Data,infibeam Result Data,163,http://www.infibeam.com/Mobiles/search?page=9,Samsung Z1 (Black),Rs. 4990
,164,infibeam Result Data,infibeam Result Data,164,http://www.infibeam.com/Mobiles/search?page=9,Samsung Z1 (White),Rs. 4990
,165,infibeam Result Data,infibeam Result Data,165,http://www.infibeam.com/Mobiles/search?page=9,Samsung Z1 (Gold),Rs. 4990
,166,infibeam Result Data,infibeam Result Data,166,http://www.infibeam.com/Mobiles/search?page=9,Lava Iris Atom 2 (Black),Rs. 4444
,167,infibeam Result Data,infibeam Result Data,167,http://www.infibeam.com/Mobiles/search?page=9,Lava Iris Atom 2 (White),Rs. 4444
,168,infibeam Result Data,infibeam Result Data,168,http://www.infibeam.com/Mobiles/search?page=9,Micromax Unite 3 Q372 (Blue),Rs. 6911
